x,y
0,0
0,1
0,2
-1,2
-2,2
-1,2
-1,3
-1,4
-1,5
-1,6
-2,6
-3,6
-3,5
-3,4
-4,4
-4,5
-4,6
-5,6
-4,6
-5,6
-6,6
-7,6
-7,7
-7,8
-8,8
-9,8
-8,8
-7,8
-7,9
-8,9
-8,10
-8,11
-8,12
-7,12
-8,12
-7,12
-6,12
-6,13
-6,14
-6,15
-7,15
-7,16
-8,16
-8,15
-9,15
-9,16
-9,17
-9,18
-10,18
-10,19
-11,19
-12,19
-12,20
-13,20
-14,20
-13,20
-12,20
-13,20
-13,19
-13,20
-13,19
-12,19
-12,18
-13,18
-12,18
-13,18
-12,18
-13,18
-12,18
-13,18
-12,18
-13,18
-13,17
-14,17
-14,16
-14,15
-14,16
-14,15
-14,16
-14,17
-15,17
-15,18
-15,19
-14,19
-15,19
-16,19
-17,19
-18,19
-18,20
-18,19
-18,18
-19,18
-18,18
-19,18
-20,18
-20,17
-19,17
-19,18
-20,18
-20,19
-20,18
-19,18
-20,18
-20,17
-20,16
-20,17
-21,17
-21,18
-22,18
-23,18
-22,18
-23,18
-24,18
-25,18
-25,19
-25,20
-25,19
-25,18
-26,18
-26,19
-27,19
-27,20
-28,20
-28,21
-28,20
-28,21
-29,21
-29,22
-29,23
-29,22
-28,22
-27,22
-28,22
-28,21
-28,20
-27,20
-26,20
-25,20
-26,20
-26,21
-25,21
-24,21
-24,22
-24,21
-23,21
-23,22
-23,21
-23,22
-23,21
-22,21
-23,21
-23,22
-24,22
-24,23
-24,24
-23,24
-24,24
-23,24
-23,23
-23,24
-22,24
-23,24
-23,25
-23,26
-23,25
-23,26
-22,26
-23,26
-24,26
-24,25
-24,24
-24,23
-24,24
-25,24
-26,24
-25,24
-24,24
-25,24
-26,24
-27,24
-27,25
-27,26
-27,27
-27,26
-26,26
-27,26
-27,27
-27,26
-26,26
-26,27
-25,27
-25,28
-25,27
-24,27
-25,27
-26,27
-26,26
-25,26
-26,26
-27,26
-27,25
-27,26
-26,26
-26,27
-26,28
-25,28
-24,28
-23,28
-23,27
-24,27
-25,27
-25,28
-24,28
-24,27
-25,27
-25,28
-25,27
-25,26
-25,27
-26,27
-26,28
-27,28
-27,27
-28,27
-28,26
-27,26
-28,26
-28,25
-27,25
-28,25
-29,25
-29,26
-29,27
-29,28
-29,29
-29,30
-30,30
-29,30
-29,29
-29,28
-29,29
-29,28
-30,28
-29,28
-29,29
-30,29
-31,29
-31,30
-32,30
-32,29
-33,29
-33,28
-33,29
-34,29
-34,30
-34,31
-34,32
-34,31
-35,31
-36,31
-36,32
-36,33
-36,32
-35,32
-34,32
-34,33
-34,32
-34,31
-35,31
-35,30
-35,29
-34,29
-33,29
-34,29
-33,29
-32,29
-32,28
-33,28
-33,27
-33,28
-32,28
-31,28
-30,28
-31,28
-31,27
-31,26
-30,26
-30,27
-29,27
-30,27
-29,27
-29,26
-30,26
-30,27
-30,28
-29,28
-30,28
-30,29
-31,29
-31,28
-32,28
-31,28
-31,27
-31,26
-31,25
-32,25
-32,26
-33,26
-33,25
-33,26
-34,26
-33,26
-32,26
-32,27
-33,27
-33,26
-33,27
-33,28
-34,28
-35,28
-34,28
-35,28
-34,28
-34,27
-34,28
-34,29
-35,29
-34,29
-34,28
-34,29
-34,30
-34,29
-35,29
-36,29
-35,29
-35,28
-34,28
-34,27
-33,27
-33,28
-34,28
-34,27
-35,27
-34,27
-34,28
-34,27
-33,27
-33,26
-33,27
-33,26
-33,25
-32,25
-31,25
-30,25
-31,25
-30,25
-30,26
-31,26
-30,26
-31,26
-31,25
-31,26
-32,26
-31,26
-32,26
-31,26
-32,26
-32,25
-33,25
-34,25
-34,24
-34,23
-34,22
-33,22
-33,23
-33,24
-34,24
-34,23
-34,24
-34,25
-35,25
-34,25
-35,25
-35,26
-36,26
-37,26
-37,27
-37,28
-37,27
-36,27
-36,28
-36,29
-37,29
-36,29
-36,30
-36,31
-37,31
-38,31
-38,32
-37,32
-37,31
-37,32
-36,32
-35,32
-34,32
-34,33
-34,34
-34,33
-34,32
-34,31
-34,32
-34,33
-34,32
-33,32
-34,32
-34,33
-35,33
-35,34
-35,33
-34,33
-35,33
-35,32
-34,32
-34,33
-35,33
-36,33
-37,33
-37,32
-37,33
-38,33
-37,33
-38,33
-38,32
-37,32
-37,33
-38,33
-38,34
-38,33
-38,34
-37,34
